language, algorithm, scenario, input_size, time_ms, memory_mb
Python,quicksort_m3,descending,100000,236.7242,116.5469
Python,quicksort_m3,descending,1000000,2638.1742,116.5078
Python,quicksort_rand,random,100,0.1048,106.0078
Python,quicksort_rand,random,1000,1.2889,106.0898
Python,quicksort_rand,random,10000,19.1878,106.1328
Python,quicksort_rand,random,100000,195.5691,106.1563
Python,quicksort_rand,random,1000000,2552.6708,106.1328
Python,quicksort_rand,ascending,100,0.0932,106.1602
Python,quicksort_rand,ascending,1000,1.3464,106.0391
Python,quicksort_rand,ascending,10000,14.3405,106.2422
Python,quicksort_rand,ascending,100000,170.0275,106.1797
Python,quicksort_rand,ascending,1000000,1882.6513,106.0313
Python,quicksort_rand,descending,100,0.0928,105.8711
Python,quicksort_rand,descending,1000,1.2011,106.1250
Python,quicksort_rand,descending,10000,14.7021,106.3125
Python,quicksort_rand,descending,100000,162.6171,106.0664
Python,quicksort_rand,descending,1000000,1893.3620,106.0352
Go,quicksort_m3,random,100,0.0433,32.7500
Go,quicksort_m3,random,1000,0.3886,40.2500
Go,quicksort_m3,random,10000,3.1138,40.6250
Go,quicksort_m3,random,100000,39.6880,40.9609
Go,quicksort_m3,random,1000000,289.0614,49.4336
Go,quicksort_m3,ascending,100,0.0436,33.0000
Go,quicksort_m3,ascending,1000,0.4631,40.0000
Go,quicksort_m3,ascending,10000,2.3019,33.7500
Go,quicksort_m3,ascending,100000,23.2556,41.0547
Go,quicksort_m3,ascending,1000000,201.6445,49.2813
Go,quicksort_m3,descending,100,0.0385,40.2500
Go,quicksort_m3,descending,1000,0.3615,32.7500
Go,quicksort_m3,descending,10000,2.3128,33.6250
Go,quicksort_m3,descending,100000,24.0365,41.1563
Go,quicksort_m3,descending,1000000,207.4554,42.1094
Go,quicksort_rand,random,100,0.0119,40.2500
Go,quicksort_rand,random,1000,0.1618,40.1250
Go,quicksort_rand,random,10000,1.2864,40.3750
Go,quicksort_rand,random,100000,18.5309,33.6602
Go,quicksort_rand,random,1000000,141.8973,47.6250
Go,quicksort_rand,ascending,100,0.0109,40.0000
Go,quicksort_rand,ascending,1000,0.0931,40.0000
Go,quicksort_rand,ascending,10000,0.7648,40.1250
Go,quicksort_rand,ascending,100000,5.7369,40.3750
Go,quicksort_rand,ascending,1000000,55.6746,47.7500
Go,quicksort_rand,descending,100,0.0116,40.2500
Go,quicksort_rand,descending,1000,0.1109,40.2500
Go,quicksort_rand,descending,10000,0.8103,40.3750
Go,quicksort_rand,descending,100000,6.1424,40.1250
Go,quicksort_rand,descending,1000000,61.6969,48.0000
